species,year,BO21_tempmax_bdmin_mean,central_depth
Botrylloides violaceus,1995,19.947184435472,9.650391141057021
Botrylloides violaceus,2001,19.947184435472,12.03816472327507
Botrylloides violaceus,2002,19.947184435472,9.33881840430252
Botrylloides violaceus,2004,19.947184435472,12.008519796965254
Botrylloides violaceus,2006,19.947184435472,23.615577805975175
Botrylloides violaceus,2008,19.947184435472,22.728423340996844
Botrylloides violaceus,2009,19.947184435472,16.403084184544625
Botrylloides violaceus,2010,19.947184435472,21.41031059035434
Botrylloides violaceus,2012,19.947184435472,20.845786650187325
Botrylloides violaceus,2013,19.947184435472,21.728621492561235
Botrylloides violaceus,2014,19.947184435472,18.11057384029445
Botrylloides violaceus,2015,19.947184435472,11.728211034083913
Botrylloides violaceus,2017,19.947184435472,23.99748617232917
Botrylloides violaceus,2018,19.947184435472,22.46668690668362
Botrylloides violaceus,2020,19.947184435472,20.5
Botrylloides violaceus,2022,19.947184435472,24.41817796389996
Botrylloides violaceus,2023,19.947184435472,24.735514409524363
Crustose Coralline Algae pink,1991,NA,15.803019027104957
Crustose Coralline Algae pink,1995,NA,16.007191721568987
Crustose Coralline Algae pink,2001,NA,14.677662963528695
Crustose Coralline Algae pink,2002,NA,15.317121306916345
Crustose Coralline Algae pink,2004,NA,15.033020438074143
Crustose Coralline Algae pink,2006,NA,14.789988454016845
Crustose Coralline Algae pink,2008,NA,16.934747476120993
Crustose Coralline Algae pink,2009,NA,16.134342387140187
Crustose Coralline Algae pink,2010,NA,15.193695630958336
Crustose Coralline Algae pink,2012,NA,14.678210647157522
Crustose Coralline Algae pink,2013,NA,15.270263411046848
Crustose Coralline Algae pink,2014,NA,17.604959239672645
Crustose Coralline Algae pink,2015,NA,14.862666556271922
Crustose Coralline Algae pink,2017,NA,13.776354180912405
Crustose Coralline Algae pink,2018,NA,14.254159186408646
Crustose Coralline Algae pink,2020,NA,17.01693978007826
Crustose Coralline Algae pink,2022,NA,16.324286138102238
Crustose Coralline Algae pink,2023,NA,14.22463493283272
Didemnum vexillum,1991,17.2458409251783,NA
Didemnum vexillum,1995,17.2458409251783,NA
